Category,Check / Scenario Type,Description (How to Test & Pass Condition),Score / Verification
Bug Extraction Accuracy (30%),Correct navigation steps identified,Correctly trace user path through app using video frames,
,Correct terminology,"IndiaMART-specific terms (BL, LMS, BMC) preserved",
,Correct expected vs. actual behavior,Correctly deduce what should have happened vs. what did happen,
,Correct workflow sequence,Steps to reproduce in chronological order,
,No LLM hallucinations,Refrain from inventing details not in media,
Ticket Field Coverage (40%),95-100%,"All fields populated, media attached, markdown strict",
,85-94%,"Minor misses (e.g. wrong OS version but correct platform)",
,70-84%,"Partial context capture. Core bug understandable.",
,50-69%,"Significant gaps. Missing environment data, generic titles.",
,<50%,Complete failure to map context to OpenProject fields.,
Scenario & Robustness Recall (30%),Happy Path,"Test: Send a normal text description + a 10-second screen recording. Pass: Ticket is created perfectly in < 60 seconds with media attached.",
,Negative Scenarios,"Test: Send a picture of a dog or a selfie. Pass: The AI Content Gate rejects it, replies in the chat, and DOES NOT create a ticket.",
,Boundary Cases,"Test: Send a 3-minute, 50MB video. Pass: OpenCV slices it to 30 frames and processes it without hitting a timeout.",
,Error Handling,"Test: Temporarily provide a fake OpenProject API key. Pass: Bot catches authentication error and replies with graceful failure message in chat instead of crashing silently.",
,State Transition,"Test: Send a video and watch chat thread. Pass: Bot replies instantly ('Analyzing...') to beat webhook deadline, then transitions to background task.",
,Integration Flow,"Test: Check final OpenProject ticket. Pass: Ticket maps to IndiaMART custom Project ID correctly and uploads binary media.",
,Retry/Recovery,"Test: Have unregistered user test in DEMO_SPACE_ID. Pass: Bot recovers from missing user token by falling back to DEFAULT_OPENPROJECT_API_KEY.",
