id,Project,Subject,Type,Parent,Status,Priority,Author,Assignee,Updated on,Category,Version,Created on,Story Points,Remaining hours,Description
577821,Android,Filters are not being removed when applied from category section/order value section while searching for any other product  from BL search,Product Bug,,Closed,Medium,Priyanka Chittimelli,Surendra Kumar,2025-04-17T05:07:46Z,BL_Webview,13.4.5,2025-04-01T06:30:08Z,,,"### **Actual Behavior**

filters are not being removed when applied from category section/order value section while searching for any other product from BL search

### **Expected Behavior**

Filters should be removed whenever a new keyword is searched.

### **Steps to reproduce:**

1.  Login as 1435463454.
2.  Navigate to bl search page.
3.  search for any word(ex:bags) and apply filters on the listing page
4.  Now again search for different keyword.
5.  Observe that previous filters are not removed.

### **Test Environment**:

1.  **Device:** IQOO Z9 5G Mobile
2.  **Environment**: Stage
3.  **Operating System:** Android 14"
577827,Android,Buyer trust info is not visible on Buylead cards on shortlisted leads section,Product Bug,,Closed,Medium,Priyanka Chittimelli,Braj Mohan,2025-04-08T05:27:14Z,BL_Webview,13.4.5,2025-04-01T06:35:37Z,,,"### **Actual Behavior**

Buyer trust info is not visible on Buylead cards on shortlisted leads section

### **Expected Behavior**

Buyer trust info is should be  visible on Buylead cards on shortlisted leads section

### **Steps to reproduce:**

1.  Login as 1000001996.
2.  Navigate to shortlisted leads section.
3.  Observe the buyer trust info on buylead cards.

### **Test Environment**:

1.  **Device:** IQOO Z9 5G Mobile
2.  **Environment**: Stage
3.  **Operating System:** Android 14"
577829,Android,Error message was wrong below the quantity field if user does not enter the quantity and click on flier icon ,Product Bug,,Closed,Low,Sachin Naik,Tarun Yadav,2025-04-04T05:57:39Z,Buyer Common,Android-13.4.6_S2,2025-04-01T06:37:55Z,,,"### **Actual Behavior**

Error message was wrong below the quantity field if user does not enter the quantity and click on flier icon 

### **Expected Behavior**

Error message should be as Please Enter quantity 

### **Steps to reproduce:**

1.  Login with 7760160027
2.  Navigate to PBR screen 
3.  Do not fill the quantity and click on flier icon 
4.  Observe the error message 

### **Test Environment**:

1.  **Device:** vivo y21e
2.  **Environment**: Stage
3.  **Operating System:** Android 12"
577830,Android,[Trackings]eto_ofr_hide_source value is going as 10 hiding a lead from anywhere,Product Bug,,Closed,Medium,Priyanka Chittimelli,Priyanshu Gaurav,2025-04-03T06:15:03Z,BL_Webview,13.4.5,2025-04-01T06:38:02Z,,,"### **Actual Behavior**

eto\_ofr\_hide\_source value is going as 10 hiding a lead from anywhere

### **Expected Behavior**

eto\_ofr\_hide\_source value should be going as 10 or 16 according to the place from where we are hiding the lead

### **Steps to reproduce:**

1.  Login as 1000001996.
2.  navigate to buyleads.
3.  Hide a lead And check the entries in db.

### **Test Environment**:

1.  **Device:** IQOO Z9 5g Mobile
2.  **Environment**: Stage
3.  **Operating System:** Android 14"
577834,Android,filters are not being removed while moving from relevant to recent,Product Bug,,Closed,Medium,Priyanka Chittimelli,Surendra Kumar,2025-04-04T05:34:27Z,BL_Webview,13.4.5,2025-04-01T06:45:34Z,,,"### **Actual Behavior**

filters are not being removed while moving from relevant to recent

### **Expected Behavior**

filters are should be removed while moving from relevant to recent

### **Steps to reproduce:**

1.  Login as 1000001996
2.  Navigate to relevant buyleads
3.  Apply filters on this page and navigate to recent bl listing
4.  Observe that the filters are not being removed.

### **Test Environment**:

1.  **Device:** IQOO Z9 5G Mobile
2.  **Environment**: Stage
3.  **Operating System:** Android 14"
577838,Android,"[Trackings]eto_ofr_display_position, fk_glusr_custtype_weight ,page_referrer , eto_ofr_hide_source values are not coming correctly while hiding from search",Product Bug,,Closed,Medium,Priyanka Chittimelli,Priyanshu Gaurav,2025-04-17T05:26:39Z,BL_Webview,13.4.5,2025-04-01T06:51:18Z,,,"### **Actual Behavior**

**eto\_ofr\_display\_position, fk\_glusr\_custtype\_weight ,page\_referrer , eto\_ofr\_hide\_source values are not coming correctly while hiding from search**

### **Expected Behavior**

The above column values should be same as the values when hiding from native on bl search

### **Steps to reproduce:**

1.  Login as 1000001996.
2.  Navigate to BL search
3.  Hide a lead and check the entries in db

### **Test Environment**:

1.  **Device:** IQOO Z9 5g Mobile
2.  **Environment**: Stage
3.  **Operating System:** Android 14"
577842,Android,For all over india it's shown as all over india upfront from see buyleads from other locations widget,Product Bug,,Closed,Low,Priyanka Chittimelli,Braj Mohan,2025-05-21T11:32:37Z,BL_Webview,13.4.5,2025-04-01T06:54:45Z,,,"### **Actual Behavior**

For all over india it&#39;s shown as all over india upfront from see buyleads from other locations widget

### **Expected Behavior**

For all over india should be shown as india upfront from see buyleads from other locations widget.

### **Steps to reproduce:**

1.  Login as 1435463454.
2.  navigate to bl listing
3.  scroll down to see buyleads in other location widget apply all over india.
4.  Observe the name upfront on the filter.

### **Test Environment**:

1.  **Device:** IQOO Z9 5g Mobile
2.  **Environment**: Stage
3.  **Operating System:** Adroid 14"
577846,Android,date format on tender cards should be shown in weeks format,Product Bug,,Closed,Low,Priyanka Chittimelli,Braj Mohan,2025-06-17T06:20:23Z,BL_Webview,13.4.5,2025-04-01T06:59:58Z,,,"### **Actual Behavior**

date format on tender cards should be shown in weeks format

### **Expected Behavior**

date format on tender cards should be shown in days format not in weeks format.

### **Steps to reproduce:**

1.  Login as 1435463454.
2.  navigate to tenders through latest tenders cta from context menu.
3.  Observe the data format on tender cards.

### **Test Environment**:

1.  **Device:** IQOO Z9 5g Mobile
2.  **Environment**: Stage
3.  **Operating System:** Android 14"
577849,Android,[Trackings]Data is not being passed in db in eto_ofr_rejected while marking a lead NI,Product Bug,,Closed,Medium,Priyanka Chittimelli,Priyanshu Gaurav,2025-04-03T06:32:58Z,BL_Webview,13.4.5,2025-04-01T07:06:29Z,,,"### **Actual Behavior**

Data is not being passed in db for eto\_ofr\_rejected while marking a lead NI

### **Expected Behavior**

Data should be passed in db for eto\_ofr\_rejected while marking a lead NI

### **Steps to reproduce:**

1.  Login as 1000001996.
2.  navigate to buyleads.
3.  marks a lead NI
4.  check the entries inDB

### **Test Environment**:

1.  **Device:** IQOO Z9 5G Mobile
2.  **Environment**: Stage
3.  **Operating System:** Android 14"
577851,Android,in case of zero bl balance clicking on call now cta from similar leads and navigating back to listing screen is being refreshed,Product Bug,,Closed,Medium,Priyanka Chittimelli,Surendra Kumar,2025-04-02T11:45:48Z,BL_Webview,13.4.5,2025-04-01T07:15:09Z,,,"### **Actual Behavior**

in case of zero bl balance clicking on call now cta from similar leads and navigating back to listing screen is being refreshed

### **Expected Behavior**

in case of zero bl balance clicking on call now cta from similar leads and navigating back to listing screen shouldn&#39;t be refreshed

### **Steps to reproduce:**

1.  Login as 1008524699 with zero bl balance.
2.  Navigate to similar leads pop-up 
3.  click on contact now cta
4.  navigates to sub plan screen.
5.  observe that screen is being refreshed.

### **Test Environment**:

1.  **Device:** iqoo z9 5g Mobile
2.  **Environment**: Stage
3.  **Operating System:** android 14"
